date_month,host_group,room_type,vacancy_rate,available_days,total_days
2025-11,Individual host,Entire home/apt,0.2239941530671706,68038,303749
2025-11,Individual host,Private room,0.28657636537292697,59409,207306
2025-11,Individual host,Shared room,0.4450817321479782,1552,3487
2025-11,Multi-listing host,Entire home/apt,0.35335425949220756,90170,255183
2025-11,Multi-listing host,Hotel room,0.611181332036947,6286,10285
2025-11,Multi-listing host,Private room,0.45078337155126386,117361,260349
2025-11,Multi-listing host,Shared room,0.4701134930643127,1864,3965
2025-12,Individual host,Entire home/apt,0.30361196167146537,99650,328215
2025-12,Individual host,Private room,0.32201885993267493,72224,224285
2025-12,Individual host,Shared room,0.45454545454545453,1705,3751
2025-12,Multi-listing host,Entire home/apt,0.5241085625514027,143383,273575
2025-12,Multi-listing host,Hotel room,0.615162193909822,6808,11067
2025-12,Multi-listing host,Private room,0.5533295751330831,155085,280276
2025-12,Multi-listing host,Shared room,0.6637626559924653,2819,4247
2026-01,Individual host,Entire home/apt,0.37912670460777265,124440,328228
2026-01,Individual host,Private room,0.3903827719196558,87557,224285
2026-01,Individual host,Shared room,0.5523860303918955,2072,3751
2026-01,Multi-listing host,Entire home/apt,0.6873617837887234,188045,273575
2026-01,Multi-listing host,Hotel room,0.8428661787295564,9328,11067
2026-01,Multi-listing host,Private room,0.6348783855625448,177938,280271
2026-01,Multi-listing host,Shared room,0.85778196373911,3643,4247
2026-02,Individual host,Entire home/apt,0.35621197199249893,105614,296492
2026-02,Individual host,Private room,0.3494964952117682,70801,202580
2026-02,Individual host,Shared room,0.4787485242030697,1622,3388
2026-02,Multi-listing host,Entire home/apt,0.7106151355726427,175593,247100
2026-02,Multi-listing host,Hotel room,0.8592436974789915,8589,9996
2026-02,Multi-listing host,Private room,0.6064713132238848,153527,253148
2026-02,Multi-listing host,Shared room,0.8029197080291971,3080,3836
2026-03,Individual host,Entire home/apt,0.3581653511404105,117571,328259
2026-03,Individual host,Private room,0.350496020687964,78611,224285
2026-03,Individual host,Shared room,0.47827246067715273,1794,3751
2026-03,Multi-listing host,Entire home/apt,0.7314886228639312,200117,273575
2026-03,Multi-listing host,Hotel room,0.877744646245595,9714,11067
2026-03,Multi-listing host,Private room,0.5931437786999012,166241,280271
2026-03,Multi-listing host,Shared room,0.8031551683541324,3411,4247
2026-04,Individual host,Entire home/apt,0.3582617181351717,113809,317670
2026-04,Individual host,Private room,0.34911771481225523,75776,217050
2026-04,Individual host,Shared room,0.4721763085399449,1714,3630
2026-04,Multi-listing host,Entire home/apt,0.737318224740321,195205,264750
2026-04,Multi-listing host,Hotel room,0.8749766573295985,9371,10710
2026-04,Multi-listing host,Private room,0.5868524868193047,159172,271230
2026-04,Multi-listing host,Shared room,0.8231143552311435,3383,4110
2026-05,Individual host,Entire home/apt,0.30568240322428325,100343,328259
2026-05,Individual host,Private room,0.2979022226185434,66815,224285
2026-05,Individual host,Shared room,0.4454812050119968,1671,3751
2026-05,Multi-listing host,Entire home/apt,0.7126930457826921,194975,273575
2026-05,Multi-listing host,Hotel room,0.8605764886599802,9524,11067
2026-05,Multi-listing host,Private room,0.5094997341858416,142798,280271
2026-05,Multi-listing host,Shared room,0.817047327525312,3470,4247
2026-06,Individual host,Entire home/apt,0.3130733150753927,99454,317670
2026-06,Individual host,Private room,0.30089841050449206,65310,217050
2026-06,Individual host,Shared room,0.43140495867768597,1566,3630
2026-06,Multi-listing host,Entire home/apt,0.722576015108593,191302,264750
2026-06,Multi-listing host,Hotel room,0.7084967320261438,7588,10710
2026-06,Multi-listing host,Private room,0.5063082992294363,137326,271230
2026-06,Multi-listing host,Shared room,0.8462287104622871,3478,4110
2026-07,Individual host,Entire home/apt,0.31588166661081646,103691,328259
2026-07,Individual host,Private room,0.298294580555989,66903,224285
2026-07,Individual host,Shared room,0.4324180218608371,1622,3751
2026-07,Multi-listing host,Entire home/apt,0.7333930366444302,200638,273575
2026-07,Multi-listing host,Hotel room,0.7045269720791543,7797,11067
2026-07,Multi-listing host,Private room,0.5095908360958692,143114,280841
2026-07,Multi-listing host,Shared room,0.8309394866964916,3529,4247
2026-08,Individual host,Entire home/apt,0.25528012941000855,83798,328259
2026-08,Individual host,Private room,0.22954276924448805,51483,224285
2026-08,Individual host,Shared room,0.33990935750466544,1275,3751
2026-08,Multi-listing host,Entire home/apt,0.6892661975692224,188566,273575
2026-08,Multi-listing host,Hotel room,0.8481069847293756,9386,11067
2026-08,Multi-listing host,Private room,0.4389695933917254,123289,280860
2026-08,Multi-listing host,Shared room,0.8102189781021898,3441,4247
2026-09,Individual host,Entire home/apt,0.25478529152499685,80930,317640
2026-09,Individual host,Private room,0.2298364432158489,49886,217050
2026-09,Individual host,Shared room,0.343801652892562,1248,3630
2026-09,Multi-listing host,Entire home/apt,0.6936921624173749,183655,264750
2026-09,Multi-listing host,Hotel room,0.726984126984127,7786,10710
2026-09,Multi-listing host,Private room,0.4291280353200883,116637,271800
2026-09,Multi-listing host,Shared room,0.8102189781021898,3330,4110
2026-10,Individual host,Entire home/apt,0.25808584276783214,84711,328228
2026-10,Individual host,Private room,0.23009563724725238,51607,224285
2026-10,Individual host,Shared room,0.3377765929085577,1267,3751
2026-10,Multi-listing host,Entire home/apt,0.6954144201772823,190248,273575
2026-10,Multi-listing host,Hotel room,0.701725851630975,7766,11067
2026-10,Multi-listing host,Private room,0.42912839136936554,120525,280860
2026-10,Multi-listing host,Shared room,0.8106898987520603,3443,4247
2026-11,Individual host,Entire home/apt,0.19509556437071762,2705,13865
2026-11,Individual host,Private room,0.16495691423881823,1608,9748
2026-11,Individual host,Shared room,0.2708333333333333,39,144
2026-11,Multi-listing host,Entire home/apt,0.6318979933110368,6046,9568
2026-11,Multi-listing host,Hotel room,0.5670588235294117,241,425
2026-11,Multi-listing host,Private room,0.3589509275335831,3928,10943
2026-11,Multi-listing host,Shared room,0.7793103448275862,113,145
